+-----+--------+-------------------+----------------------------------------+--------------------------------------------+------------+-----------------+
| id  | season | episode_in_season |                 title                  |                   topic                    |  air_date  | production_code |
+-----+--------+-------------------+----------------------------------------+--------------------------------------------+------------+-----------------+
| 1   | 1      | 1                 | Lost My Marbles                        | Navigation                                 | 2002-01-21 | CYB001          |
| 2   | 1      | 2                 | Castleblanca                           | Data Collection and Analysis               | 2002-01-22 | CYB010          |
| 3   | 1      | 3                 | R-Fair City                            | Probability and chance                     | 2002-01-23 | CYB004          |
| 4   | 1      | 4                 | Snow Day to be Exact                   | Estimation                                 | 2002-01-24 | CYB007          |
| 5   | 1      | 5                 | Sensible Flats                         | Area                                       | 2002-01-25 | CYB005          |
| 6   | 1      | 6                 | Zeus on the Loose                      | Fractions                                  | 2002-01-28 | CYB002          |
| 7   | 1      | 7                 | The Poddleville Case                   | Patterns                                   | 2002-01-29 | CYB006          |
| 8   | 1      | 8                 | And They Counted Happily Ever After    | Number, Operations, and Counting           | 2002-01-30 | CYB003          |
| 9   | 1      | 9                 | Clock Like An Egyptian                 | Time Keeping                               | 2002-01-31 | CYB009          |
| 10  | 1      | 10                | Secrets of Symmetria                   | Symmetry                                   | 2002-02-01 | CYB008          |
| 11  | 1      | 11                | A Day at the Spa                       | Combinations                               | 2002-02-04 | CYB011          |
| 12  | 1      | 12                | Of All The Luck                        | Logic                                      | 2002-02-05 | CYB018          |
| 13  | 1      | 13                | Eureeka                                | 2D and 3D Geometry                         | 2002-02-06 | CYB015          |
| 14  | 1      | 14                | Cool It                                | Liquid Volume                              | 2002-02-07 | CYB014          |
| 15  | 1      | 15                | Find Those Gleamers                    | Algebra                                    | 2002-02-08 | CYB017          |
| 16  | 1      | 16                | Codename: Icky                         | Codes                                      | 2002-02-11 | CYB019          |
| 17  | 1      | 17                | Return to Sensible Flats               | Line Graphs                                | 2002-02-12 | CYB012          |
| 18  | 1      | 18                | Problem Solving in Shangri-La          | Working Backwards                          | 2002-02-13 | CYB016          |
| 19  | 1      | 19                | Send in the Clones                     | Multiplication                             | 2002-02-14 | CYB020          |
| 20  | 1      | 20                | Trading Places                         | Monetary Systems                           | 2002-03-14 | CYB021          |
| 21  | 1      | 21                | Less Than Zero                         | Negative Numbers                           | 2002-07-03 | CYB013          |
| 22  | 1      | 22                | Model Behavior                         | Using Models                               | 2002-07-10 | CYB023          |
| 23  | 1      | 23                | Fortress of Attitude                   | Linear Measurements                        | 2002-07-17 | CYB024          |
| 24  | 1      | 24                | Size Me Up                             | Scale and Size                             | 2002-07-24 | CYB025          |
| 25  | 1      | 25                | A Battle of Equals                     | Balancing Equations                        | 2002-07-31 | CYB026          |
| 26  | 1      | 26                | Out of Sync                            | Patterns in Music                          | 2002-08-07 | CYB022          |
| 27  | 2      | 1                 | Hugs & Witches                         | Median of Data (Average)                   | 2003-02-14 | CYB029          |
| 28  | 2      | 2                 | Totally Rad                            | Perimeter/Area Relationship                | 2003-03-31 | CYB030          |
| 29  | 2      | 3                 | Harriet Hippo & the Mean Green         | Equivalent Fractions                       | 2003-04-01 | CYB027          |
| 30  | 2      | 4                 | True Colors                            | Counter Examples                           | 2003-04-02 | CYB028          |
| 31  | 2      | 5                 | All the Right Angles                   | Angle Measurement                          | 2003-04-03 | CYB031          |
| 32  | 2      | 6                 | Mother's Day                           | Decimals                                   | 2003-05-09 | CYB033          |
| 33  | 2      | 7                 | The Eye of Rom                         | Inverse Operations                         | 2003-05-16 | CYB032          |
| 34  | 2      | 8                 | A Whale of a Tale                      | Ballpark estimation                        | 2003-05-23 | CYB035          |
| 35  | 2      | 9                 | Double Trouble                         | Growth by Doubling                         | 2003-05-30 | CYB036          |
| 36  | 2      | 10                | Raising the Bar                        | Bar graphs                                 | 2003-09-15 | CYB037          |
| 37  | 2      | 11                | The Wedding Scammer                    | Problem Solving                            | 2003-09-16 | CYB040          |
| 38  | 2      | 12                | The Guilty Party                       | Point of View                              | 2003-09-17 | CYB039          |
| 39  | 2      | 13                | A Time to Cook                         | Elapsed Time                               | 2003-09-18 | CYB038          |
| 40  | 2      | 14                | Trick or Treat                         | Functions                                  | 2003-10-28 | CYB034          |
| 41  | 3      | 1                 | EcoHaven CSE                           | Body Math                                  | 2004-05-03 | CYB043          |
| 42  | 3      | 2                 | The Borg of the Ring                   | Circles                                    | 2004-05-04 | CYB041          |
| 43  | 3      | 3                 | A World Without Zero                   | Zero                                       | 2004-05-05 | CYB042          |
| 44  | 3      | 4                 | A Piece of the Action                  | Percents                                   | 2004-05-06 | CYB044          |
| 45  | 3      | 5                 | The Creech Who Would be Crowned        | Direction and Distance                     | 2004-05-07 | CYB046          |
| 46  | 3      | 6                 | The Grapes of Plath                    | High-Low Estimation                        | 2004-09-16 | CYB045          |
| 47  | 3      | 7                 | A Perfect Fit                          | Tessellations                              | 2003-09-23 | CYB050          |
| 48  | 3      | 8                 | Be Reasonable                          | Reasoning                                  | 2004-09-30 | CYB047          |
| 49  | 3      | 9                 | The Snelfu Snafu                       | Saving Money                               | 2004-10-07 | CYB051          |
| 50  | 3      | 10                | The Snelfu Snafu                       | Spending Money                             | 2004-10-14 | CYB052          |
| 51  | 3      | 11                | Shari Spotter and the Cosmic Crumpets  | Mixed-Number Fractions                     | 2004-10-28 | CYB048          |
| 52  | 3      | 12                | Starlight Night                        | Finding a Simpler Case                     | 2004-12-31 | CYB049          |
| 53  | 4      | 1                 | Balancing Act                          | Budgeting Money                            | 2005-04-15 | CYB056          |
| 54  | 4      | 2                 | The Icky Factor                        | Factoring                                  | 2005-07-25 | CYB054          |
| 55  | 4      | 3                 | Penguin Tears                          | Angles in Bouncing                         | 2005-07-26 | CYB057          |
| 56  | 4      | 4                 | Past Perfect Prediction                | Data Prediction                            | 2005-07-27 | CYB059          |
| 57  | 4      | 5                 | Measure For Measure                    | Units of Measurement                       | 2005-07-28 | CYB061          |
| 58  | 4      | 6                 | A Change of Art                        | Line Graph Comparisons                     | 2005-10-03 | CYB058          |
| 59  | 4      | 7                 | The Case of the Missing Memory         | Missing Information                        | 2005-10-04 | CYB055          |
| 60  | 4      | 8                 | A Crinkle In Time                      | Gears                                      | 2005-10-05 | CYB053          |
| 61  | 4      | 9                 | A Broom Of One's Own                   | Time/Distance/Speed                        | 2005-10-06 | CYB060          |
| 62  | 4      | 10                | A Tikiville Turkey Day                 | Patterns in Nature                         | 2005-10-07 | CYB062          |
| 63  | 5      | 1                 | The Halloween Howl                     | Division                                   | 2006-10-31 | CYB071          |
| 64  | 5      | 2                 | A Clean Sweep                          | Inventions: Persistence                    | 2006-11-27 | CYB063          |
| 65  | 5      | 3                 | Designing Mr. Perfect                  | Inventions: Design for Function            | 2006-11-28 | CYB064          |
| 66  | 5      | 4                 | EcoHaven Ooze                          | Inventions: Testing with Models            | 2006-11-29 | CYB066          |
| 67  | 5      | 5                 | The Fairy Borg Father                  | Inventions: Refine and Optimize            | 2006-11-30 | CYB067          |
| 68  | 5      | 6                 | The Flying Parallinis                  | Parallelograms                             | 2007-04-16 | CYB065          |
| 69  | 5      | 7                 | Crystal Clear                          | Crystals                                   | 2007-04-17 | CYB072          |
| 70  | 5      | 8                 | Inside Hacker                          | Robotic Reasoning                          | 2007-04-18 | CYB068          |
| 71  | 5      | 9                 | On the Line                            | Properties of a Line                       | 2007-04-19 | CYB069          |
| 72  | 5      | 10                | A Fraction of a Chance                 | Fractions 101                              | 2007-09-03 | CYB070          |
| 73  | 6      | 1                 | Digit's B-Day Surprise                 | Reading a Thermometer                      | 2007-11-07 | CYB073          |
| 74  | 6      | 2                 | When Penguins Fly                      | Population Sampling                        | 2007-12-12 | CYB074          |
| 75  | 6      | 3                 | Unhappily Ever After                   | Builders' Math: Measurement, Geometry      | 2008-02-19 | CYB075          |
| 76  | 6      | 4                 | Escape From Merlin's Maze              | Builders' Math: Algebraic Thinking         | 2008-02-20 | CYB076          |
| 77  | 6      | 5                 | Step By Step                           | Builders' Math: Multi-Step Problem Solving | 2008-02-21 | CYB077          |
| 78  | 6      | 6                 | Team Spirit                            | Math in Sports: Number and Operation       | 2008-04-08 | CYB079          |
| 79  | 6      | 7                 | Jimaya Jam                             | Math in Sports: Representation             | 2008-04-09 | CYB080          |
| 80  | 6      | 8                 | A Perfect Score                        | Math in Sports: Scoring Performance        | 2008-04-10 | CYB081          |
| 81  | 6      | 9                 | Chaos as Usual                         | Math in Sports: Data Collection            | 2008-04-11 | CYB078          |
| 82  | 6      | 10                | Spheres of Fears                       | Circle Diameter and Circumference          | 2008-10-27 | CYB082          |
| 83  | 7      | 1                 | Weather Watchers Gone With The Fog     | Math in Weather: Fog                       | 2009-04-20 | CYB083          |
| 84  | 7      | 2                 | The Emperor Has Snow Clothes           | Math in Weather: Tracking Storms           | 2009-04-21 | CYB084          |
| 85  | 7      | 3                 | The X-Factor                           | Math in Weather: Multiplication Power      | 2009-04-22 | CYB085          |
| 86  | 7      | 4                 | Blowin' in the Wind Blowin in the Wind | Math in Weather: Measuring Wind Speed      | 2009-04-23 | CYB086          |
| 87  | 7      | 5                 | Father's Day                           | Patterns in Codes                          | 2009-06-19 | CYB087          |
| 88  | 7      | 6                 | The Deedle Beast                       | Observing and Tracking Animal Behavior     | 2009-10-05 | CYB088          |
| 89  | 7      | 7                 | Spellbound                             | Grids                                      | 2009-10-06 | CYB089          |
| 90  | 8      | 1                 | The Hacker's Challenge                 | Solution by Trying Numbers                 | 2010-06-25 | CYB090          |
| 91  | 8      | 2                 | Face-Off!                              | Analyzing Ads (Reasoning)                  | 2010-07-02 | CYB093          |
| 92  | 8      | 3                 | Peace, Love, and Hackerness            | Measuring with Mixed Number Fractions      | 2010-07-09 | CYB094          |
| 93  | 8      | 4                 | Hackerized!                            | Analyzing Data                             | 2010-07-16 | CYB091          |
| 94  | 8      | 5                 | The Bluebird of Zappiness              | Proportional reasoning                     | 2010-07-23 | CYB092          |
| 95  | 9      | 1                 | An Urchin Matter                       | Keystone Species and Kelp-Bed Ecosystem    | 2013-11-04 | CYB095          |
| 96  | 9      | 2                 | Going Solar                            | Solar Panels                               | 2013-11-05 | CYB096          |
| 97  | 9      | 3                 | Trash Creep                            | Fractions, Effects of Trash, and Recycling | 2013-11-06 | CYB097          |
| 98  | 9      | 4                 | The Cyberchase Movie                   | Living Space                               | 2014-04-21 | CYB099          |
| 99  | 9      | 5                 | The Cyberchase Movie                   | Living Space                               | 2014-04-22 | CYB100          |
| 100 | 10     | 1                 | Fit to be Heroes                       | Exercise Goals                             | 2015-11-09 | CYB101          |
| 101 | 10     | 2                 | A Recipe for Chaos                     | Nutrition                                  | 2015-11-10 | CYB102          |
